Date,Transport_Type,Total_Ridership,Percent_compared_to_pre_pandemic_day
2020-03-01,Subways,2212965,97
2020-03-02,Subways,5329915,96
2020-03-03,Subways,5481103,98
2020-03-04,Subways,5498809,99
2020-03-05,Subways,5496453,99
2020-03-06,Subways,5189447,93
2020-03-07,Subways,2814637,92
2020-03-08,Subways,2120656,93
2020-03-09,Subways,4973513,89
2020-03-10,Subways,4867818,87
2020-03-11,Subways,4697122,84
2020-03-12,Subways,4149505,75
2020-03-13,Subways,3484996,63
2020-03-14,Subways,1670665,54
2020-03-15,Subways,1157711,51
2020-03-16,Subways,2178555,39
2020-03-17,Subways,1788786,32
2020-03-18,Subways,1625280,29
2020-03-19,Subways,1422112,26
2020-03-20,Subways,1309125,24
2020-03-21,Subways,619618,20
2020-03-22,Subways,408723,18
2020-03-23,Subways,709499,13
2020-03-24,Subways,741587,13
2020-03-25,Subways,690032,12
2020-03-26,Subways,680360,12
2020-03-27,Subways,656817,12
2020-03-28,Subways,332393,11
2020-03-29,Subways,263700,12
2020-03-30,Subways,545215,10
2020-03-31,Subways,508106,9
2020-04-01,Subways,513481,9
2020-04-02,Subways,485586,9
2020-04-03,Subways,483357,9
2020-04-04,Subways,282278,9
2020-04-05,Subways,227303,9
2020-04-06,Subways,445454,8
2020-04-07,Subways,434986,8
2020-04-08,Subways,427485,8
2020-04-09,Subways,404635,7
2020-04-10,Subways,400275,7
2020-04-11,Subways,257061,8
2020-04-12,Subways,198399,8
2020-04-13,Subways,363312,7
2020-04-14,Subways,430155,8
2020-04-15,Subways,419059,8
2020-04-16,Subways,420223,8
2020-04-17,Subways,432368,8
2020-04-18,Subways,254453,8
2020-04-19,Subways,224411,9
2020-04-20,Subways,437852,8
2020-04-21,Subways,422107,8
2020-04-22,Subways,458781,8
2020-04-23,Subways,453520,8
2020-04-24,Subways,443956,8
2020-04-25,Subways,295387,9
2020-04-26,Subways,218787,9
2020-04-27,Subways,462888,8
2020-04-28,Subways,489247,9
2020-04-29,Subways,477799,9
2020-04-30,Subways,465869,8
2020-05-01,Subways,494549,9
2020-05-02,Subways,325865,10
2020-05-03,Subways,258865,11
2020-05-04,Subways,511866,9
2020-05-05,Subways,522085,9
2020-05-06,Subways,508824,9
2020-05-07,Subways,535073,9
2020-05-08,Subways,526054,9
2020-05-09,Subways,316883,10
2020-05-10,Subways,271947,11
2020-05-11,Subways,520873,9
2020-05-12,Subways,553372,10
2020-05-13,Subways,565377,10
2020-05-14,Subways,567392,10
2020-05-15,Subways,587808,10
2020-05-16,Subways,360844,11
2020-05-17,Subways,287418,12
2020-05-18,Subways,595469,10
2020-05-19,Subways,610884,11
2020-05-20,Subways,623749,11
2020-05-21,Subways,629298,11
2020-05-22,Subways,633883,11
2020-05-23,Subways,335830,10
2020-05-24,Subways,320015,13
2020-05-25,Subways,393918,16
2020-05-26,Subways,656766,11
2020-05-27,Subways,674465,12
2020-05-28,Subways,658057,12
2020-05-29,Subways,657259,11
2020-05-30,Subways,426737,13
2020-05-31,Subways,344426,14
2020-06-01,Subways,687162,12
2020-06-02,Subways,693760,12
2020-06-03,Subways,681714,12
2020-06-04,Subways,726672,13
2020-06-05,Subways,703576,13
2020-06-06,Subways,464198,14
2020-06-07,Subways,377990,14
2020-06-08,Subways,804542,14
2020-06-09,Subways,842306,15
2020-06-10,Subways,857015,15
2020-06-11,Subways,818297,15
2020-06-12,Subways,896658,16
2020-06-13,Subways,545316,17
2020-06-14,Subways,430439,16
